Experiment	EndP	Pi_content	Bacteria
EXP1	30uM,0%Suc	2.4119356358	+Bacteria
EXP1	30uM,0%Suc	4.1645383056	No Bacteria
EXP1	30uM,0%Suc	4.9336878899	No Bacteria
EXP1	30uM,0%Suc	5.1152084447	+Bacteria
EXP1	30uM,0%Suc	5.2817065816	No Bacteria
EXP1	30uM,0%Suc	5.5207300203	No Bacteria
EXP1	30uM,0%Suc	5.575840423	No Bacteria
EXP1	30uM,0%Suc	6.1779638123	No Bacteria
EXP1	30uM,0%Suc	6.3852366135	+Bacteria
EXP1	100uM,0%Suc	10.3364269565	No Bacteria
EXP1	100uM,0%Suc	10.9753650093	No Bacteria
EXP1	100uM,0%Suc	11.2727312269	+Bacteria
EXP1	100uM,0%Suc	11.9647477676	No Bacteria
EXP1	100uM,0%Suc	13.791793171	No Bacteria
EXP1	100uM,0%Suc	15.2484442112	No Bacteria
EXP1	100uM,0%Suc	15.6667552236	No Bacteria
EXP1	30uM,0%Suc	15.7121875029	+Bacteria
EXP1	100uM,0%Suc	15.7333631976	+Bacteria
EXP1	30uM,0%Suc	16.6034072162	+Bacteria
EXP1	100uM,0%Suc	18.4654536411	+Bacteria
EXP1	100uM,0%Suc	19.1384241149	+Bacteria
EXP1	30uM,0%Suc	19.3162319092	+Bacteria
EXP1	100uM,0%Suc	22.7754077359	+Bacteria
EXP1	100uM,0%Suc	27.1622027502	+Bacteria
EXP10	100uM,0%Suc	1.1698078963	+Bacteria
EXP10	30uM,0%Suc	1.8551498961	+Bacteria
EXP10	30uM,0%Suc	1.8551498961	+Bacteria
EXP10	100uM,0%Suc	3.4784060552	+Bacteria
EXP10	30uM,0%Suc	3.4784060552	+Bacteria
EXP10	30uM,0%Suc	4.8697684773	+Bacteria
EXP10	100uM,0%Suc	6.4216727173	+Bacteria
EXP10	100uM,0%Suc	6.8022162857	+Bacteria
EXP10	30uM,0%Suc	7.1812254043	+Bacteria
EXP10	100uM,0%Suc	7.3046527159	+Bacteria
EXP10	100uM,0%Suc	8.5336895221	+Bacteria
EXP10	100uM,0%Suc	8.7457066531	+Bacteria
EXP10	30uM,0%Suc	9.0124378824	+Bacteria
EXP10	30uM,0%Suc	9.03165081	+Bacteria
EXP10	30uM,0%Suc	9.053131493	+Bacteria
EXP10	30uM,0%Suc	9.2552505867	+Bacteria
EXP10	30uM,0%Suc	9.6130494617	+Bacteria
EXP10	30uM,0%Suc	9.8660244475	+Bacteria
EXP10	30uM,0%Suc	9.8932443473	+Bacteria
EXP10	30uM,0%Suc	9.9299339176	+Bacteria
EXP10	30uM,0%Suc	10.2680389599	+Bacteria
EXP10	30uM,0%Suc	10.5097554382	+Bacteria
EXP10	30uM,0%Suc	10.5518352472	+Bacteria
EXP10	100uM,0%Suc	10.9126464477	+Bacteria
EXP10	100uM,0%Suc	10.9331422811	+Bacteria
EXP10	30uM,0%Suc	11.1572729399	No Bacteria
EXP10	100uM,0%Suc	11.208197289	+Bacteria
EXP10	100uM,0%Suc	11.5901840597	+Bacteria
EXP10	100uM,0%Suc	11.7773910071	+Bacteria
EXP10	30uM,0%Suc	11.8265805877	No Bacteria
EXP10	100uM,0%Suc	11.9027500634	+Bacteria
EXP10	100uM,0%Suc	11.9918529196	No Bacteria
EXP10	100uM,0%Suc	12.0227983652	+Bacteria
EXP10	30uM,0%Suc	12.0486065061	No Bacteria
EXP10	30uM,0%Suc	12.0518011237	No Bacteria
EXP10	30uM,0%Suc	12.1210714071	+Bacteria
EXP10	100uM,0%Suc	12.14279932	+Bacteria
EXP10	100uM,0%Suc	12.3322716004	+Bacteria
EXP10	30uM,0%Suc	12.3654885681	+Bacteria
EXP10	100uM,0%Suc	12.6221203458	+Bacteria
EXP10	30uM,0%Suc	12.9659935982	No Bacteria
EXP10	30uM,0%Suc	13.0617696767	+Bacteria
EXP10	100uM,0%Suc	13.1308993767	+Bacteria
EXP10	100uM,0%Suc	13.3852587441	No Bacteria
EXP10	30uM,0%Suc	13.5506601107	+Bacteria
EXP10	100uM,0%Suc	13.5807623974	No Bacteria
EXP10	100uM,0%Suc	13.8223873407	+Bacteria
EXP10	100uM,0%Suc	13.8954364768	No Bacteria
EXP10	30uM,0%Suc	13.9132068121	+Bacteria
EXP10	100uM,0%Suc	13.9502390214	+Bacteria
EXP10	100uM,0%Suc	13.966527735	+Bacteria
EXP10	30uM,0%Suc	14.0346122575	+Bacteria
EXP10	100uM,0%Suc	14.2014923082	No Bacteria
EXP10	100uM,0%Suc	14.2144593391	+Bacteria
EXP10	30uM,0%Suc	14.6680518453	No Bacteria
EXP10	30uM,0%Suc	14.7698472498	+Bacteria
EXP10	100uM,0%Suc	14.8799979563	No Bacteria
EXP10	100uM,0%Suc	14.9497451735	+Bacteria
EXP10	100uM,0%Suc	15.2777050268	+Bacteria
EXP10	30uM,0%Suc	31.571278232	+Bacteria
EXP11	30uM,0%Suc	10.9776398074	No Bacteria
EXP11	30uM,0%Suc	12.0957600673	+Bacteria
EXP11	30uM,0%Suc	12.3917323293	No Bacteria
EXP11	100uM,0%Suc	12.4973130777	+Bacteria
EXP11	30uM,0%Suc	13.6121302102	No Bacteria
